Entrez_IDs,Gene_Symbol,d0,d7,d12,d19,d26,d33,d49,d63,d77,Cluster,Radius,Angle,Autism,Holoprosencephaly,Microcephaly,Lissencephaly,Alzheimers,Tauopathy
3902,LAG3,0.0128975181,0.6670610132,1.8186986161,0.8804971371,0.0458448333,-0.3263725801,-1.1246433882,-0.7129705019,-1.2610126476,2,2.4573509663,3.798062722,no,no,no,no,no,no
390205,LRRC10B,-1.0934081447,-1.0476563373,-0.8538709471,0.2967695147,0.0767234296,-0.2503117032,0.2219869121,2.1190036409,0.530763635,5,2.4433836994,1.1309543193,no,no,no,no,no,no
390213,DOC2GP,-1.1207598593,-0.5085078294,-0.0005711138,-0.0141612754,2.3567533372,-0.666863537,-0.5326101656,0.4483004624,0.0384199808,3,1.2855313068,2.1281554476,no,no,no,no,no,no
390226,GUCY2E,2.4763509011,-0.8370425655,-0.8370425655,-0.2185804263,-0.3380657073,-0.1864668358,0.0387092299,0.3138933933,-0.411755424,1,2.6826923201,5.6489328712,no,no,no,no,no,no
390259,BSX,-0.6381167247,-0.6381167247,-0.519462008,-0.3159919295,-0.4237801033,-0.4249320496,-0.2498546721,0.817576415,2.3926777969,6,2.2922720483,0.876747296,no,no,no,no,no,no
390275,OR8A1,-0.7012364935,-0.7012364935,-0.7012364935,0.4788348785,0.4468671264,-0.7012364935,0.346067545,-0.7012364935,2.2344129175,6,1.6296560347,1.117104842,no,no,no,no,no,no
390595,UBAP1L,-1.6078612821,-1.0297577954,0.1087915998,1.2318863729,1.4824410913,0.376593455,0.1946222827,-0.6624000567,-0.0943156674,4,1.920427483,2.3041357353,no,no,no,no,no,no
390598,SKOR1,-2.2664444603,-0.1637646198,-0.5158755425,1.1366186097,0.2871944974,0.3310730667,0.502407292,0.8905921766,-0.2018010199,4,2.5214597661,1.996014518,no,no,no,no,no,no
390616,ANKRD34C,-0.7938060328,-0.7757381595,-0.5436685883,-0.6321618757,-0.6092100891,-0.4009645598,0.6132937455,1.2335078836,1.9087476761,6,2.5668270277,0.9292863975,no,no,no,no,no,no
390637,C15orf58,0.382267693,-0.1345726144,-1.7842744117,0.3099188982,-0.6440010672,-0.6197468415,-0.0738366637,0.8003937838,1.7638512235,6,2.2299854839,0.4085388285,no,no,no,no,no,no
3908,LAMA2,-0.7102007874,-0.9698876777,-1.0301648155,-0.7692245625,-0.3902185921,0.1786419955,0.8889737014,1.430201762,1.3718789763,6,2.7292318005,0.9070209114,no,no,no,yes,no,no
3909,LAMA3,-0.4603575702,-1.0544197843,-0.9576096912,-0.3794035234,-0.0761778461,-0.3909739041,0.0195019515,1.5687599543,1.7306804134,6,2.6783619507,0.7959385972,no,no,no,no,no,no
390928,PAPL,0.6389647765,0.6817069336,1.7870466409,-0.0528348522,0.6347438364,-1.1340712797,-0.8340445827,-0.6815577925,-1.0399536802,2,2.3462843583,4.0932836212,no,no,no,no,no,no
